id,Location,Sex,TA,EDL,Gastroc,Soleus,Tibia,Mode,thick,delta_thick,thick_log,Thickness
67,PSU,M,43.4,8.4,104.2,6.6,16.51,139,16.021,14.655,1.20468962,1.297897724
68,PSU,M,53.8,10.2,116.8,7,18.06,137,16.031,17.623,1.204960614,1.298707847
69,PSU,M,36.6,8.2,87.6,6.1,16.58,123,14.009,14.907,1.146407135,1.134901018
70,PSU,M,56.4,10.2,122.5,7,16.91,156,17.983,16.584,1.254862144,1.456843816
71,PSU,M,59.2,,127.1,8.3,17.39,139,17.973,15.53,1.254620574,1.456033693
72,PSU,M,47.9,8.7,107.1,6,17.36,134,15.978,15.635,1.203522417,1.294414196
73,PSU,M,,5.9,73.4,4,15.35,140,11.988,15.171,1.078746734,0.971175202
74,PSU,M,46.1,8.5,92.4,5.1,16.2,144,14.026,15.619,1.146933835,1.136278227
75,PSU,M,44,7.5,92.9,5.9,16.29,136,14.133,18.338,1.150234359,1.144946541
76,PSU,M,42.5,8.5,109.9,6.8,17,140,16,14.425,1.204119983,1.296196466
77,PSU,M,51.7,10.7,128.5,8.9,16.88,141,18.015,14.529,1.255634266,1.459436208
78,PSU,M,50.6,9.9,114.9,7.4,16.36,149,16.031,16,1.204960614,1.298707847
79,PSU,M,51.3,10.2,119.6,7.6,16.77,147,23.34,14.142,1.368100852,1.890826595
80,PSU,M,43.8,8.7,107.6,4.8,16.94,,,,,
81,PSU,M,52.6,10.4,129.5,7,17.21,164,15.993,18.558,1.203929937,1.29562938
82,PSU,M,41.3,7.8,91.3,5.5,16.9,153,16.031,17.623,1.204960614,1.298707847
83,PSU,M,46.7,8.5,106.3,6.3,17.08,145,17.101,15.12,1.233021507,1.385390985
84,PSU,M,49.2,9.6,101.4,6.4,16.66,129,14.034,17.241,1.147181472,1.136926325
85,PSU,M,52.7,9.3,117.8,6.9,17.27,140,17.986,18.062,1.254934589,1.457086852
86,PSU,M,40.6,8.4,98.5,5.4,16.37,143,14.029,14.636,1.147026715,1.136521264
